date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
20120905,20120922,C,1275000,126.5,129.5,31,65498727,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1300000,102,105.2,31,65475423,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1325000,78.1,81.5,32,65475159,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1350000,55.7,59,32,65475160,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1365000,42.8,46,2,81951192,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1370000,39,42.1,115,81951193,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1375000,35.1,38.2,267,65498728,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1380000,31.2,34.1,4,81689889,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1385000,27.8,30.6,12,81951194,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1390000,24.4,27.2,54,81951195,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1395000,21,23.7,129,81951196,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1400000,19,20.1,11668,65475240,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1405000,16,17.6,20164,82964374,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1410000,13,15,41,81954863,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1415000,10.5,12.6,102,82964375,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1420000,8.4,10.3,853,81689890,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1425000,6.7,8.4,1872,65498729,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1430000,5.2,6.7,372,81920838,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1435000,4,5.3,1055,81920839,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1440000,2.95,4.2,295,81689891,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1445000,2.2,3.2,2306,82964376,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1450000,1.8,2.2,10300,65498730,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1455000,1,1.95,513,82964377,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1460000,0.85,1.3,2153,81689892,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1465000,0.5,0.95,102,82964378,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1470000,0.4,0.65,342,81954864,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1475000,0.35,0.55,142,65475424,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1480000,0.25,0.45,44,81689893,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1485000,0.2,0.35,71,82964379,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1490000,0.2,0.3,1005,81954865,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1495000,0.15,0.25,120,81821215,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1500000,0.15,0.2,951,65475241,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1505000,0.05,0.15,2,81821216,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1510000,0.05,0.2,939,82957654,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1520000,0.05,0.1,40,82957656,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1600000,0,0.05,25,65475425,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,1650000,0,0.05,25,65475243,1,CBOE S&P 500 INDEX,E
20120905,20120922,C,950000,450.5,453,5,65475168,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1350000,64.1,67.7,2,82117706,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1360000,56.5,59.9,2,82964404,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1370000,49.2,52.5,4,82964405,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1375000,45.7,48.9,19,82117707,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1380000,42.4,45.5,2,82964406,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1385000,39.1,42.2,3,83085988,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1390000,35.9,38.9,6,82964407,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1395000,32.8,35.7,2,83085989,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1400000,30,32.5,3037,82117708,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1405000,27,29.7,122,82958633,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1410000,24.2,26.8,279,82958634,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1415000,21.7,24.2,15,83030451,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1420000,19.3,21.7,192,82964408,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1425000,16.9,19.2,6222,82117709,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1430000,14.8,17,18,82317772,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1435000,12.9,15,5,82317773,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1440000,11.1,13,26,82317774,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1445000,9.5,11.4,10,82317775,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1450000,8.1,9.8,1504,82117710,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1455000,6.7,8.3,6,83085990,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1460000,5.5,7,51,82964409,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1465000,4.7,6,1550,83085991,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1470000,3.7,5,69,82964410,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1475000,3.6,4,142,82117711,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1480000,2.3,3.4,80,82964411,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1485000,1.75,2.95,11,83085992,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1490000,1.25,2.3,1784,82964412,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1495000,0.85,2,23,83067802,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1500000,1.3,1.5,136,82117712,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1505000,0.3,1.5,23,83067803,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1510000,0.1,1,77,83069714,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1525000,0.4,0.6,27,82117713,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1530000,0.3,0.6,10,83069717,1,CBOE S&P 500 INDEX,E
20120905,20121020,C,1550000,0.05,0.3,2,82117714,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1350000,71.8,75.5,2,81905856,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1375000,54.5,57.9,2,81905857,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1390000,44.9,48.1,6,83069736,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1400000,38.9,42,573,81905858,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1405000,36.1,39.1,60,83052713,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1410000,33.3,36.1,68,83052714,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1415000,30.9,33.6,15,83052715,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1425000,25.7,28.3,90,81905859,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1450000,15.5,17.7,3251,81905860,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1470000,9.5,11.3,100,83092600,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1475000,8.3,10,391,81905861,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1480000,7.2,8.8,68,83092601,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1490000,5.6,6.6,8,83092602,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1500000,3.7,4.8,58,81905862,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1505000,3.1,4.4,3,83199564,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1515000,2.1,3.4,4,83199565,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1520000,1.6,2.9,10,83092604,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1525000,1.55,2.35,266,81905863,1,CBOE S&P 500 INDEX,E
20120905,20121117,C,1530000,0.95,2.25,5,83092605,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1100000,297.9,302.4,2,46794098,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1275000,139,143.5,32,49769859,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1300000,118.7,123,31,46400906,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1325000,99.4,103.5,33,51189644,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1350000,81,84.9,25,34919167,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1375000,64.2,67.8,9,63100139,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1400000,49.1,51.7,1232,34919160,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1425000,35.6,38.6,43,63100141,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1450000,24.8,27.1,140,34919166,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1475000,15.8,18,6,80983782,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1480000,14.2,16.3,250,83092671,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1500000,9.3,11,45,46592890,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1550000,2.35,3.5,4,45577453,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1575000,0.9,2.2,8,80983784,1,CBOE S&P 500 INDEX,E
20120905,20121222,C,1600000,0.8,1.1,13,45998681,1,CBOE S&P 500 INDEX,E
20120905,20130119,C,1350000,87.7,92,25,83164597,1,CBOE S&P 500 INDEX,E
20120905,20130119,C,1375000,71.4,75.4,9,83164598,1,CBOE S&P 500 INDEX,E
20120905,20130119,C,1400000,56,59.7,1015,83164599,1,CBOE S&P 500 INDEX,E
20120905,20130119,C,1425000,42.8,46.1,23,83164600,1,CBOE S&P 500 INDEX,E
20120905,20130119,C,1450000,31.4,34.3,2,83164601,1,CBOE S&P 500 INDEX,E
20120905,20130119,C,1475000,21.8,24.2,6,83164602,1,CBOE S&P 500 INDEX,E
20120905,20130119,C,1500000,14.5,16.6,44,83164603,1,CBOE S&P 500 INDEX,E
20120905,20130119,C,1575000,2.45,3.7,10,83164606,1,CBOE S&P 500 INDEX,E
20120905,20130316,C,1350000,99.9,104.6,20,81627611,1,CBOE S&P 500 INDEX,E
20120905,20130316,C,1400000,69.5,73.6,3144,81627613,1,CBOE S&P 500 INDEX,E
20120905,20130316,C,1450000,44.3,47.7,751,81627615,1,CBOE S&P 500 INDEX,E
20120905,20130316,C,1575000,7.8,9.7,351,81627620,1,CBOE S&P 500 INDEX,E
20120905,20130316,C,1600000,4.8,6.7,9200,81627621,1,CBOE S&P 500 INDEX,E
20120905,20130622,C,1300000,150.9,158.2,2,63100240,1,CBOE S&P 500 INDEX,E
